Match Number,HTGD,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,FGS-0,FGS-1,Match_O
179,0,0,0,22,26,51,67,1,0,Loss
180,-1,0,0,16,24,0,42,1,0,Draw
181,0,0,0,35,25,91,67,1,0,Draw
182,0,0,0,25,44,42,83,1,0,Loss
183,0,0,0,31,11,82,0,0,0,Win
184,-2,0,0,20,30,43,56,1,0,Loss
185,1,0,0,17,12,45,47,0,1,Win
186,2,0,0,22,28,58,65,0,1,Win
187,-1,0,0,29,20,38,0,1,0,Win
188,0,0,0,20,20,0,43,1,0,Loss
189,0,0,0,11,33,0,67,1,0,Loss
190,0,0,0,23,17,48,55,0,0,Draw
191,2,0,0,30,19,67,63,1,0,Win
192,0,0,0,18,23,55,43,1,0,Loss
193,1,0,0,20,36,0,67,0,1,Win
194,1,0,0,12,24,47,48,1,0,Draw
195,1,0,0,45,26,91,0,0,1,Draw
196,0,0,0,28,25,65,42,0,0,Win
197,-2,0,0,18,32,55,38,1,0,Loss
198,0,0,0,19,34,63,82,0,0,Win
199,0,0,0,33,25,56,58,1,0,Win
200,0,0,0,27,20,50,45,0,0,Draw
201,0,0,0,47,22,83,51,0,0,Win
202,-1,0,0,31,30,50,0,1,0,Draw
203,0,0,0,32,26,65,58,0,1,Loss
204,-2,0,0,12,40,0,82,1,0,Loss
205,0,0,0,39,29,56,43,0,0,Draw
206,0,0,0,16,24,47,45,0,1,Loss
207,1,0,0,48,22,91,51,0,1,Win
208,3,0,0,54,26,83,42,0,1,Win
209,1,0,0,23,36,0,38,0,1,Draw
210,0,0,0,18,27,55,48,1,0,Draw
211,-1,0,1,28,39,63,67,1,0,Loss
212,2,0,1,36,16,67,47,0,1,Win
213,0,0,0,25,47,42,91,0,0,Draw
214,0,0,0,37,39,82,56,0,0,Win
215,0,0,0,26,11,48,0,0,0,Draw
216,0,0,0,26,31,43,50,0,0,Win
217,0,0,0,21,23,45,0,0,1,Win
218,1,0,0,35,31,38,65,0,1,Draw
219,4,0,0,27,18,0,55,0,1,Win
220,-1,0,0,22,25,51,63,1,0,Loss
221,0,0,0,25,53,58,83,0,1,Draw
222,-1,0,0,13,25,47,42,1,0,Win
223,1,0,0,22,21,63,45,0,1,Win
224,1,0,0,36,35,56,38,1,0,Win
225,0,0,0,46,25,91,48,1,0,Draw
226,0,0,0,28,25,50,58,0,1,Win
227,0,0,0,50,27,83,0,0,1,Win
228,-1,0,0,31,34,65,82,1,0,Loss
229,1,0,0,31,24,0,0,0,1,Win
230,-1,0,0,30,28,43,63,1,0,Loss
231,0,0,0,22,32,51,50,1,0,Loss
232,0,0,0,42,57,67,83,1,0,Win
233,2,0,0,43,51,82,91,0,1,Win
234,0,0,0,26,12,42,0,0,0,Win
235,0,0,0,28,32,48,65,0,0,Draw
236,3,0,0,27,40,45,56,0,1,Win
237,-1,0,0,29,19,58,55,1,0,Draw
238,0,0,0,37,16,38,47,1,0,Loss
239,0,0,0,30,37,43,0,1,0,Loss
240,0,0,0,15,41,0,56,1,0,Loss
241,0,0,0,22,38,51,38,0,0,Win
242,0,0,0,31,45,45,67,0,0,Draw
243,1,0,0,51,31,91,63,0,1,Win
244,0,0,0,40,19,56,47,0,1,Draw
245,1,0,0,57,15,83,0,0,1,Win
246,1,0,0,30,29,58,42,0,1,Win
247,0,0,0,37,30,38,45,0,0,Draw
248,2,0,0,24,29,0,48,0,1,Win
249,0,0,0,20,46,55,82,1,0,Loss
250,0,0,0,34,22,0,51,1,0,Win
251,0,0,0,12,31,0,63,0,1,Win
252,-1,0,0,20,15,55,0,1,0,Draw
253,1,0,0,38,30,38,43,0,1,Win
254,-1,0,0,33,60,65,83,1,0,Loss
255,0,0,0,49,35,82,50,0,0,Draw
256,1,0,0,29,20,42,55,0,1,Win
257,0,0,0,31,27,63,0,0,1,Win
258,-1,0,0,20,54,47,91,1,0,Loss
259,0,0,0,29,33,48,58,0,0,Win
260,0,0,1,18,25,0,51,0,1,Draw
261,0,0,0,39,33,50,65,1,0,Loss
262,1,0,0,44,32,56,48,0,1,Win
263,-1,0,0,46,25,67,51,1,0,Win
264,1,0,0,40,32,0,42,0,1,Win
265,1,0,0,57,32,91,45,0,1,Win
266,1,0,0,36,34,50,63,0,1,Win
267,1,0,0,63,20,83,47,0,1,Win
268,0,0,0,33,50,58,82,1,0,Win
269,0,0,0,27,33,0,65,1,0,Win
270,0,0,0,30,42,0,50,0,0,Draw
271,2,0,0,19,23,0,47,0,1,Draw
272,-1,0,0,41,60,38,91,1,0,Loss
273,0,0,0,26,36,51,58,1,0,Draw
274,2,0,0,34,41,63,38,0,1,Win
275,2,1,0,36,47,65,56,0,1,Win
276,0,0,0,32,66,48,83,0,1,Loss
277,3,0,0,20,20,47,55,0,1,Win
278,2,0,0,50,30,82,0,0,1,Win
279,1,0,0,32,43,45,0,0,1,Win
280,-2,0,0,19,39,0,50,1,0,Loss
281,-1,0,0,33,52,42,67,1,0,Loss
282,-1,0,0,30,63,43,91,1,0,Loss
283,0,0,0,47,37,56,63,1,0,Loss
284,2,0,0,20,39,55,65,0,1,Loss
285,0,0,0,53,69,82,83,1,0,Loss
286,0,0,0,49,43,67,0,0,0,Win
287,0,0,0,32,32,48,42,1,0,Draw
288,-1,0,0,30,29,43,51,1,0,Loss
289,0,0,0,36,35,58,45,0,0,Draw
290,0,0,0,43,55,50,67,0,0,Win
291,3,0,0,72,47,83,56,0,1,Win
292,2,0,0,66,31,91,0,0,1,Win
293,0,0,0,36,30,45,43,1,0,Loss
294,0,0,0,43,41,0,38,0,0,Draw
295,1,0,0,42,20,65,0,0,1,Win
296,0,0,0,32,33,51,48,0,0,Draw
297,0,0,0,40,20,63,55,0,0,Loss
298,0,0,0,24,37,47,58,0,0,Win
299,0,0,0,33,53,42,82,0,0,Draw
300,2,0,0,23,36,55,45,0,1,Win
301,0,0,0,20,69,0,91,1,0,Loss
302,1,0,0,45,44,65,0,0,1,Win
303,2,0,0,54,55,82,67,0,1,Win
304,0,0,0,47,31,56,0,0,0,Win
305,0,0,0,27,33,47,51,0,0,Win
306,-1,0,0,34,42,48,38,1,0,Draw
307,-1,0,0,75,40,83,63,1,0,Win
308,0,0,0,37,33,58,43,1,0,Loss
309,0,0,0,36,30,43,47,0,0,Draw
310,2,0,0,47,35,50,48,1,0,Win
311,-1,0,0,34,46,42,50,1,0,Draw
312,0,0,0,72,48,91,65,0,0,Win
313,-1,0,0,55,26,67,55,1,0,Loss
314,0,0,0,40,35,63,42,0,1,Loss
315,1,0,0,36,20,45,0,0,1,Win
316,-1,0,0,44,57,0,82,1,0,Loss
317,-1,0,0,31,37,0,58,1,0,Loss
318,0,0,0,33,50,51,56,0,1,Loss
319,1,0,0,43,78,38,83,0,1,Win
320,0,0,0,31,44,47,0,0,0,Draw
321,0,0,0,53,50,56,50,0,1,Draw
322,-2,0,0,35,37,48,43,1,0,Loss
323,0,0,0,40,55,58,67,0,0,Draw
324,0,0,0,56,54,67,56,1,0,Win
325,0,0,0,40,60,43,82,0,0,Draw
326,0,0,0,39,39,45,42,0,1,Loss
327,1,0,0,46,41,38,58,0,1,Win
328,1,0,0,45,35,0,48,0,1,Win
329,1,0,0,31,29,0,55,0,1,Win
330,1,0,0,20,46,0,38,1,0,Win
331,-1,0,1,38,33,42,51,1,0,Draw
332,0,0,0,61,39,82,45,0,0,Win
333,-1,0,0,29,75,55,91,1,0,Loss
334,0,0,0,59,41,67,43,0,1,Win
335,1,0,0,78,34,83,0,0,1,Win
336,0,0,0,34,48,51,65,0,1,Draw
337,0,0,0,51,32,50,47,0,0,Win
338,1,0,0,35,43,48,63,0,1,Draw
339,1,0,0,64,35,82,51,0,1,Win
340,0,0,0,23,41,0,43,1,0,Draw
341,1,0,0,29,54,55,50,0,1,Win
342,0,0,0,81,39,83,45,0,1,Draw
343,2,0,0,40,23,63,0,0,1,Win
344,0,0,0,51,54,63,0,0,1,Draw
345,0,0,0,55,49,56,42,0,1,Draw
346,0,0,0,82,57,91,50,1,0,Draw
347,-1,0,0,67,33,82,47,1,0,Draw
348,-1,0,0,89,38,83,55,1,0,Loss
349,1,0,0,43,39,45,48,0,1,Win
350,-1,0,0,53,67,38,67,1,0,Loss
351,-1,0,0,38,35,0,51,1,0,Loss
352,1,0,0,57,42,65,43,0,1,Win
353,-1,0,0,27,42,0,58,1,0,Draw
354,-1,0,0,56,50,65,63,1,0,Draw
355,0,0,0,81,88,91,83,0,0,Draw
356,-1,0,0,33,53,47,65,1,0,Loss
357,1,0,1,66,80,67,91,0,1,Draw
358,-1,0,0,42,85,43,83,1,0,Draw
359,0,0,0,54,53,50,38,0,0,Win
360,0,0,0,36,67,48,82,0,0,Win
361,-1,0,0,42,47,58,63,1,0,Loss
362,0,0,0,54,24,0,0,1,0,Loss
363,3,0,0,35,55,55,56,0,1,Win
364,-1,0,0,35,40,51,45,1,0,Loss
365,2,0,0,46,38,42,0,0,1,Win
366,0,0,0,51,42,0,58,0,0,Win
367,1,0,0,63,36,67,48,0,1,Win
368,1,0,0,79,54,91,56,1,0,Draw
369,1,0,0,54,82,50,83,0,1,Loss
370,0,0,0,44,33,63,47,0,0,Win
371,0,0,0,42,43,43,42,1,0,Loss
372,-1,0,0,40,50,45,65,1,0,Loss
373,2,0,0,50,67,38,82,0,1,Win
374,1,0,0,35,24,0,0,0,1,Win
375,-1,0,0,35,32,51,55,1,0,Loss
376,0,0,0,41,78,58,91,0,0,Draw
377,0,0,0,42,49,42,38,0,0,Draw
378,1,0,0,49,62,65,67,0,1,Draw
379,0,0,0,54,48,56,0,0,0,Loss
380,0,0,0,32,34,47,0,0,0,Draw
381,3,0,0,0,0,85,57,0,1,Win
382,0,0,0,0,0,60,55,0,0,Win
383,0,0,0,0,0,87,43,1,0,Draw
384,1,0,0,0,0,83,0,0,1,Win
385,3,0,0,0,0,37,0,0,1,Win
386,0,0,0,0,0,65,58,1,0,Loss
387,0,0,0,0,0,0,36,1,0,Win
388,0,0,0,0,0,42,46,0,0,Win
389,2,0,0,0,0,49,40,0,1,Win
390,0,0,0,0,0,39,76,1,0,Loss
391,0,0,0,3,3,58,0,0,1,Draw
